%	percent
圆形面包	bun
圆括号	parentheses
圆柱	column
圆柱	cylinder
圆柱形	cylindrical
圆柱体	cylinder
圆滑线	slur
圆滚滚	plump
圆满	satisfactory
圆满	consummate
圆满	perfect
圆润	suave
圆润	rich
圆珠	ball
圆珠	bead
圆珠	ballpoint
圆球	ball
圆球	sphere
圆球	globe
圆环	rotary
圆环	ring
圆盘	disk
圆石头	boulder
圆筒	drum
圆舞曲	waltz
圆融	accommodating
圆规	compass
圆规座	Circinus
圆通	flexible
圆通	accommodating
圆锥	cone
圆锥	conical
圆锥	tapering
圆锥形	conical
圆锥形	coniform
圆锥状	conical
圆锥体	cone
圆顶	dome
圆点	dot
圆鼓鼓	rotund
圆鼓鼓	protruding
圕	library
图	diagram
图	picture
图	drawing
图	chart
图	map
图例	legend
图例	diagram
图例	illustration
图像	image
图像	picture
图像	graphic
图像互换格式	GIF
图像用户介面	GUI
图层	layer
图形	picture
图形	figure
图形	diagram
图形	graph
图形	depiction
图形	graphical
图书	books
图书管理员	librarian
图书馆	library
图书馆员	librarian
图林根	Thuringia
图案	design
图案	pattern
图标	icon
图样	diagram
图样	blueprint
图尔	Tours
图尔库	Turku
图片	image
图片	picture
图片	photograph
图片报	Bild-Zeitung
图瓦卢	Tuvalu
图画	drawing
图画	picture
图卢斯	Toulouse
图卢兹	Toulouse
图示	icon
图章	stamp
图章	seal
图签	icon
图纸	blueprint
图纸	drawing
图表	chart
图表	diagram
图解	illustration
图解	diagram
图谱	atlas
图钉	thumbtack
图录	catalog
图阿雷格	Tuareg
图集	atlas
图腾	totem
团	round
团	lump
团	ball
团	regiment
团	group
团	society
团伙	gang
团伙	accomplice
团伙	crony
团员	member
团契	fellowship
团结	unity
团结	solidarity
团结	united
团结工会	Solidarity
团队	team
团队精神	collectivism
团队精神	solidarity
团体	group
团体	organization
团体	team
圜	circle
圜	encircle
圜	circle
圜	round
圞	round
土	Tu
土	earth
土	dust
土	clay
土	local
土	indigenous
土	unsophisticated
土丘	mound
土丘	hillock
土丘	barrow
土人	native
土人	aborigine
土伦	Toulon
土到不行	old-fashioned
土包子	boor
土匪	bandit
土地	land
土地	soil
土地	territory
土坯	adobe
土堆	mound
土壤	soil
土壤学	pedology
土岗	mound
土岗	hillock
土库曼	Turkmenistan
土库曼人	Turkmen
土库曼斯坦	Turkmenistan
土得掉渣	rustic
土得掉渣	uncouth
土拨鼠	groundhog
土星	Saturn
土曜日	Saturday
土木	building
土木	construction
土木身	undecorated
土木身	unvarnished
土桑	Tucson
土气	rustic
土气	uncouth
土气	unsophisticated
土澳	Australia
土尔其斯坦	Turkestan
土生土长	indigenous
土生土长	home-grown
土石流	mudslide
土老帽	hillbilly
土老帽	yokel
土老帽	redneck
土老帽	bumpkin
土耳其	Turkey
土耳其玉	turquoise
土耳其石	turquoise
土耳其语	Turkish
土耳其软糖	Lokum
土著	aboriginal
土著人	aboriginal
土葬	burial
土卫二	Enceladus
土卫六	Titan
土里土气	unsophisticated
土里土气	rustic
土里土气	uncouth
土制	homemade
土制	earthen
土话	vernacular
土话	slang
土话	dialect
土话	patois
土语	dialect
土语	patois
土豆	potato
土豆	peanut
土豚	aardvark
土猪	aardvark
土头土脑	rustic
土头土脑	uncouth
土头土脑	unsophisticated
在	at
在	in
在一起	together
在下	under
在下	myself
在下方	beneath
在下面	underneath
在位	reigning
在位时代	reign
在先	previous
在先	prior
在先	beforehand
在先	first
在先	formerly
在其中	therein
在其中	wherein
在前	ahead
在前	formerly
在即	imminent
在地	local
在地下	underground
在外	outer
在室内	indoors
在后	behind
在户外	outdoors
在旁	alongside
在旁	nearby
在朝	sitting
在此	hereto
在此	here
在此之前	beforehand
在此之前	previously
在此之后	afterwards
在此之后	next
在此之际	meanwhile
在深处	deeply
在理	reasonable
在理	sensible
在眼前	now
在线	online
在职	on-the-job
在高处	aloft
圩	dike
圪垯	lump
圪垯	pimple
圪垯	mound
圬	whitewash
圭亚那	Guyana
圮	destroyed
圮	injure
地	-ly
地	earth
地	ground
地	field
地	place
地	land
地下	underground
地下	subterranean
地下	covert
地下室	basement
地下室	cellar
地下水	groundwater
地下通道	underpass
地下通道	subway
地下通道	tunnel
地下铁路	subway
地中海贫血	thalassemia
地主	landlord
地主	landowner
地主	host
地位	position
地位	status
地位	place
地保	magistrate
地儿	place
地儿	space
地动	earthquake
地势	terrain
地区	local
地区	regional
地区	district
地区	region
地区	area
地区性	regional
地区性	local
地台	floor
地台	platform
地名	toponym
地图	map
地图册	atlas
地图集	atlas
地地道道	thoroughgoing
地地道道	authentic
地地道道	100%
地址	address
地址解析协议	ARP
地域	area
地域	district
地域	region
地基	foundations
地基	base
地堡	bunker
地塞米松	dexamethasone
地契	deed
地层	stratum
地层学	stratigraphy
地岬	cape
地岬	headland
地带	zone
地平线	horizon
地底	subterranean
地底	underground
地府	hell
地府	Hades
地形	topography
地形	terrain
地形	landform
地心	geocentric
地心吸力	gravitation
地排车	handcart
地方	region
地方	regional
地方	local
地方	area
地方	place
地方	space
地方	room
地方	territory
地方主义	regionalism
地方官职位	prefecture
地方性	local
地景	landscape
地景	terrain
地板	floor
地标	landmark
地步	stage
地步	degree
地步	situation
地步	leeway
地段	section
地段	district
地毯	carpet
地毯	rug
地洞	tunnel
地洞	cave
地洞	burrow
地洞	dugout
地滑	landslide
地漏	drain
地热	geothermal
地牢	prison
地牢	dungeon
地狱	hell
地狱	infernal
地狱	underworld
地球仪	globe
地球化学	geochemistry
地球物理	geophysics
地球物理学	geophysics
地理	geography
地理学	geography
地理学家	geographer
地理定位	geolocation
地瓜	yam
地产	estate
地产大亨	Monopoly
地痞	bully
地皮	lot
地皮	ground
地盘	domain
地税	rates
地窖	cellar
地窖	basement
地窨	cellar
地窨子	cellar
地籍	cadaster
地级	prefecture-level
地线	earth
地线	ground
地缘	geo-
地缘战略	geostrategic
地缘政治	geopolitics
地缘政治	geopolitical
地缘政治学	geopolitics
地脚	footer
地脚	foundation
地脚	base
地衣	lichen
地西泮	diazepam
地西泮	Valium
地貌	relief
地貌	landform
地质	geology
地质学	geology
地质学家	geologist
地速	groundspeed
地道	tunnel
地道	causeway
地道	authentic
地道	genuine
地道	typical
地道	thorough
地道	conscientious
地钱	liverwort
地铁	subway
地铁	metro
地雷	landmine
地震	earthquake
地震仪	seismometer
地震学	seismology
地震学家	seismologist
地面	floor
地面	ground
地面	surface
地头	place
地头	locality
地头蛇	tyrant
地点	place
地点	site
地点	location
地点	venue
圴	footprint
圻	boundary
址	location
址	site
坂井	Sakai
坂本	Sakamoto
坆	grave
坆	tomb
坆	plum
均	equal
均	even
均	all
均	uniform
均一	even
均一	uniform
均一	homogeneous
均匀	even
均匀	well-distributed
均匀	homogeneous
均匀	well-proportioned
均匀性	homogeneity
均匀性	uniformity
均等	equal
均等	impartial
均等	fair
均等化	leveling
均腐土	Isohumosols
均衡	equal
均衡	balanced
均衡	harmony
均衡	equilibrium
均衡器	equalizer
均变论	uniformitarianism
均质	homogenous
均质	uniform
均质	homogenized
坈	pit
坈	hole
坊	lane
坊	workshop
坊	mill
坊间	bookshops
坊间传言	rumors
坋	dust
坋土	silt
坍方	landslide
坎	pit
坎	threshold
坎	☵
坎坷	bumpy
坎坷	rough
坎大哈	Kandahar
坎子	bank
坎德拉	candela
坎昆	Cancún
坎特伯雷	Canterbury
坎贝尔	Campbell
坐商	tradesman
坐商	shopkeeper
坐垫	cushion
坐垫	seat
坐席	seat
坐探	mole
坐探	plant
坐椅	seat
坐椅	chair
坐标	coordinate
坐立不安	restless
坐立不安	fidgety
坐药	suppository
坐骑	mount
坐骨	ischium
坐骨神经痛	sciatica
坑	hole
坑	pit
坑	tunnel
坑坎	uneven
坑坎	depression
坑坑洼洼	bumpy
坑洞	hole
坑洞	pit
坑洞	pothole
坑爹	dishonest
坑爹	fraudulent
坑爹	deceptive
坑洼	pothole
坑道	gallery
坑道	tunnel
坡	slope
坡	sloping
坡	slanted
坡国	Singapore
坡度	gradient
坡度	slope
坡县	Singapore
坡道	ramp
坤	☷
坦	flat
坦	open-hearted
坦	level
坦	smooth
坦克	tank
坦克车	tank
坦尚尼亚	Tanzania
坦承	calmly
坦桑尼亚	Tanzania
坦然	calm
坦然	undisturbed
坦率	frank
坦率	blunt
坦率	open
坦白	honest
坦白	forthcoming
坦荡	magnanimous
坦诚	candid
坦诚	frank
坦途	highway
坨子	lump
坨子	heap
坩	crucible
坩埚	crucible
坯	blank
坯件	blank
坯子	base
坯模	mold
坰	environs
坰	wilderness
坱	plentiful
坱	vast
坳	cavity
坳	hollow
坳陷	depression
坴	land
丘	hillock
坷	uneven
坷	unfortunate
坷垃	clod
坻	islet
垂	droop
垂	dangle
垂	bequeath
垂	nearly
垂	almost
垂危	life-threatening
垂垂	gradually
垂幕	canopy
垂挂	suspended
垂死	dying
垂直	perpendicular
垂直	vertical
垂直尾翼	tailfin
垂钓	angling
垂头丧气	crestfallen
垂髫	child
垃圾	trash
垃圾	refuse
垃圾	garbage
垃圾筒	trashcan
垃圾邮件	spam
型	mold
型	type
型	style
型	model
型式	type
型式	pattern
型式	version
型式	style
型态	form
型态	shape
型态	type
型态	style
型态	pattern
型板	template
垌	field
垌	farm
垓	boundary
垕	thick
垗	sacrifice
垚	embankment
垛	battlement
垛	target
垛	pile
垛口	crenel
垝	dilapidated
垝	collapsed
垞	mound
垠	limit
垠	border
垢	dirt
垢	disgrace
垣	wall
垤	anthill
垤	mound
垮台	demise
垯	pimple
垯	mound
埃	dust
埃	dirt
埃克托	Hector
埃博拉	Ebola
埃及	Egypt
埃及古物学	Egyptology
埃及古物学者	Egyptologist
埃及豆	chickpea
埃因霍温	Eindhoven
埃塞俄比亚	Ethiopia
埃塞俄比亚语	Ethiopic
埃夫伯里	Avebury
埃居	Écu
埃弗顿	Everton
埃德	Ed
埃德加	Edgar
埃叙	Egypt-Syria
埃文	Evan
埃文	Avon
埃文	Ivan
埃文斯	Evans
埃文斯	Ivins
埃文斯	Ivens
埃文河畔斯特拉特福	Stratford-upon-Avon
埃斯特哈齐	Esterhazy
埃格尔松	Egersund
埃森哲	Accenture
埃森纳赫	Eisenach
埃尔南德斯	Hernández
埃尔多安	Erdogan
埃尔朗根	Erlangen
埃尔福特	Erfurt
埃琳娜	Elena
埃米尔	Emir
埃米尔	Amir
埆	barren
埆	stony
埋伏	ambush
埋汰	dirty
埋藏	hidden
埋头	countersunk
埌	wasteland
埌	wild
城	city
城	town
城中村	shantytown
城中村	ghetto
城址	townsite
城堡	castle
城堡	rook
城市	city
城市	town
城市化	urbanization
城府	subtle
城府	shrewd
城府	sophisticated
城池	city
城邑	towns
城邑	cities
城郊	suburbs
城镇	town
城镇化	urbanization
埏	boundary
埒	equal
埒	enclosure
埒	dike
埒	embankment
埔	port
埔	wharf
埔	pier
埔	port
埗	wharf
埗	dock
埗	jetty
埗	port
域	field
域	region
域	area
域	domain
域名抢注	cybersquatting
域外	abroad
域外	foreign
域外	extraterritorial
埠	wharf
埠	port
埠	pier
埠头	wharf
埠头	pier
埭	dam
坎	pit
坎	hole
埶	skill
埶	art
执事	attendant
执事	job
执事	duties
执事	you
执事	deacon
执拗	stubborn
执拗	willful
执拗	pigheaded
执政官	consul
执政官	magistrate
执政者	ruler
执业	practitioner
执业	professional
执照	license
执照	permit
执行人	executioner
埸	border
培勒兹	Perez
培根	bacon
培植	cultivation
培植	training
培训	training
培养	education
培养	fostering
培养	culture
基	base
基	foundation
基	basic
基	radical
基	gay
基因	gene
基因型	genotype
基因学	genetics
基因技术	biotechnology
基因组	genome
基团	radical
基地	base
基地	al-Qaeda
基地恐怖组织	Al-Qaeda
基地组织	Al-Qaeda
基址	foundation
基址	footing
基址	base
基址	ruins
基孔肯雅热	chikungunya
基岩	bedrock
基布兹	kibbutz
基床	foundation
基床	bed
基床	substrate
基底	plinth
基底	base
基底	substrate
基座	underlay
基座	foundation
基座	pedestal
基建	infrastructure
基情	bromance
基数	radix
基数	base
基普	kip
基本	basic
基本	fundamental
基本	main
基本	elementary
基本上	basically
基本功	fundamentals
基材	substrate
基板	substrate
基桑加尼	Kisangani
基业	foundation
基业	base
基波	fundamental
基准	norm
基准	standard
基准	base
基准	benchmark
基准	criterion
基准	data
基尔	Kiel
基尔特	guild
基甸	Gideon
基督	Christ
基督城	Christchurch
基督徒	Christian
基督教	Christianity
基督教	Christian
基石	cornerstone
基础	base
基础	foundation
基础	basis
基础	underlying
基础结构	infrastructure
基础设施	infrastructure
基线	base
基线	horizontal
基脚	footing
基脚	pedestal
基台	abutment
基调	keynote
基质	stroma
基里巴斯	Kiribati
基里巴斯共和国	Kiribati
基金	fund
基金会	foundation
基体	matrix
基体	substrate
基点	crux
埼	headland
埼玉	Saitama
埽	dike
堀	cave
堀	hole
堂	hall
堂倌	waiter
堂倌	attendant
堂堂	grand
堂堂	magnificent
堂堂	stately
堂堂正正	impressive
堂堂正正	square
堂皇	imposing
堂皇	grand
堂而皇之	overt
堂而皇之	grandiose
堄	parapet
坚	strong
坚	solid
坚	firm
坚	unyielding
坚	resolute
坚信礼	confirmation
坚冰	ice
坚固	firm
坚固	firmly
坚固	hard
坚固	stable
坚固性	firmness
坚执	stubborn
坚定	firm
坚定	steady
坚定	staunch
坚定	resolute
坚定不移	unswerving
坚定不移	unflinching
坚定性	firmness
坚定性	steadfastness
坚实	solid
坚强	staunch
坚强	strong
坚忍	persevering
坚忍不拔	fortitude
坚戈	tenge
坚振	confirmation
坚振礼	confirmation
坚挺	strong
坚果	nut
坚决	firm
坚决	resolute
坚决	determined
坚牢	strong
坚牢	firm
坚硬	hard
坚硬	solid
坚贞	firm
坚贞	unswerving
坚韧	tenacious
堆	pile
堆	heap
堆	stack
堆垒	accumulative
堆栈	stack
堆栈	storehouse
堆栈	warehouse
堆积	accumulation
堆肥	compost
堆高机	forklift
堇	clay
堇	violet
堇色	violet
堇菜	violet
堎	mound
堎	tomb
堙	bury
堙	mound
堙	close
埚	crucible
堞	battlements
堡	castle
堡	stronghold
堡垒	fort
堡寨	fort
堡寨	fortress
堤	dike
堤坝	dam
堤坝	dike
堤岸	embankment
堤岸	bank
堤岸	levee
堤拉米苏	tiramisu
堤防	dike
堤防	embankment
堤防	levee
堤顶大路	promenade
堧	adjoin
堨	dam
堨	check
堪	may
堪	can
堪察加	Kamchatka
堪忧	worrying
堪忧	bleak
堪虞	worrisome
堪虞	precarious
堪舆	geomancy
堰	weir
堰蜓座	Chamaeleon
报	report
报	newspaper
报	recompense
报	revenge
报亭	kiosk
报亭	newsstand
报人	newsman
报人	journalist
报价	quote
报价单	quotation
报偿	repay
报偿	recompense
报刊摊	newsstand
报告	report
报告	speech
报告	talk
报告	lecture
报告员	spokesperson
报告员	announcer
报告文学	reportage
报导	report
报复	revenge
报复	retaliation
报应	retribution
报应	judgment
报摊	newsstand
报春花	primrose
报盘	offer
报社	newspaper
报章	newspapers
报童	paperboy
报系	syndicate
报纸	newspaper
报纸	newsprint
报话机	walkie-talkie
报谦	sorry
报警器	alarm
报道	report
报道摄影师	photojournalist
报酬	reward
报酬	remuneration
报头	masthead
报头	nameplate
堲	hate
场	stage
场	scene
场合	situation
场合	occasion
场合	context
场合	setting
场合	location
场合	venue
场地	space
场地	site
场地	place
场所	location
场所	place
场景	scene
场景	scenario
场景	setting
场次	screening
场次	performance
场面	scene
场面	spectacle
场面	occasion
场面	situation
场馆	arena
堵	wall
堵塞	blockage
堵车	choking
堽	mound
堿	base
堿	soda
塂	hill
块	lump
块	chunk
块	piece
块垒	gloom
块状	lump
块菌	truffle
块头	size
塌方	landslide
塑像	statue
塑化剂	plasticizer
塑封	laminated
塑封	laminate
塑性	plasticity
塑料	plastics
塑胶	plastic
塑胶车	scooter
塑造	plastic
塑造	flexible
塑钢	Delrin
塓	whitewash
塔	pagoda
塔	tower
塔	minaret
塔	stupa
塔克拉马干	Taklamakan
塔列朗	Talleyrand
塔加路族语	Tagalog
塔吉克人	Tajik
塔吉克斯坦	Tajikistan
塔塔儿	Tartar
塔塔儿人	Tartar
塔夫绸	taffeta
塔尖	spire
塔崩	tabun
塔扎	Taza
塔斯曼尼亚	Tasmania
塔斯曼尼亚岛	Tasmania
塔斯社	TASS
塔斯科拉	Tuscola
塔斯马尼亚	Tasmania
塔木德经	Talmud
塔楼	tower
塔玛尔	Tamar
塔瓦斯科	Tabasco
塔罗	tarot
塔罗卡	Tarouca
塔迪奇	Tadich
塕	dust
涂	mud
涂	street
涂家	painter
涂家	artist
涂层	coating
涂径	path
涂径	road
涂抹酱	spread
涂料	paint
涂污	smudge
涂污	stain
涂油于	anoint
涂片	smear
涂装	livery
涂饰	finish
涂饰	veneer
涂鸦	graffiti
涂鸦	scrawl
涂鸭	graffiti
涂鸭	scrawl
塘	dyke
塘	embankment
塘虱	catfish
塘鹅	pelican
塘鹅	gannet
塘鹅	booby
塙	truly
塞	Serbia
塞	Serbian
塞	cork
塞	stopper
塞内加尔	Senegal
塞子	cork
塞子	plug
塞尺	gauge
塞巴斯蒂安	Sebastian
塞擦音	affricate
塞斯纳	Cessna
塞族	Serbs
塞浦路斯	Cyprus
塞尔特	Celtic
塞尔维亚	Serbia
塞尔维亚克罗地亚语	Serbo-Croatian
塞尔维亚语	Serbian
塞尔达	Zelda
塞瓦斯托波尔	Sevastopol
塞纳河	Seine
塞缪尔	Samuel
塞耳	earplug
塞耳	earwax
塞万提斯	Cervantes
塞音	plosive
坞	dock
埙	ocarina
填充	pad
填充	padding
填地	landfill
填塞物	stuffing
填密	packing
填密	packaging
尘	dust
尘	dirt
尘	earth
尘嚣	hubbub
尘土	dust
尘埃	dust
尘封	dusty
尘雾	smog
墀	courtyard
境	border
境	place
境	condition
境	boundary
境	circumstances
境	territory
境内	internal
境内	domestic
境地	circumstances
境况	circumstances
境界	boundary
境界	state
境界	realm
境遇	circumstance
墅	villa
墈	cliff
垫	pad
垫	cushion
垫	mat
垫圈	washer
垫子	cushion
垫子	mat
垫子	pad
垫底儿	underlay
垫底费	deductible
垫料	lagging
垫料	litter
垫款	advance
垫片	spacer
垫片	shim
垫背	scapegoat
垫脚	litter
垫被	mattress
墐	bury
墒	furrow
墓	grave
墓	tomb
墓	mausoleum
墓园	cemetery
墓园	graveyard
墓地	cemetery
墓地	graveyard
墓场	graveyard
墓石	tombstone
墓石	gravestone
墓碑	gravestone
墓碑	tombstone
墓穴	tomb
墓穴	grave
墓葬	grave
墓葬	tomb
墓志铭	epitaph
坠子	weight
坠子	pendant
坠饰	pendant
增值	value-added
增兵	reinforcements
增刊	supplement
增塑剂	plasticizer
增幅	amplification
增殖	growth
增殖	increase
增温层	thermosphere
增生	growth
增生	proliferation
增田	Masuda
增白剂	whitener
增益	gain
增益	buff
增稠剂	thickener
增重粉	gainer
增量	increment
增长天	Virudhaka
墟	ruins
墟	village
墟里	village
墨丘利	Mercury
墨水	ink
墨水瓶架	inkstand
墨渍	spot
墨渍	smudge
墨累	Murray
墨者	Mohist
墨西哥	Mexico
墨西哥人	Mexican
墨西哥卷饼	taco
墨西哥卷饼	burrito
墨西哥辣椒	jalapeño
墨角兰	marjoram
墨镜	sunglasses
墨鱼	cuttlefish
墩	block
墩	pier
墩布	swab
墩布	mop
墫	goblet
墫	bottle
墫	wine-jar
堕落	corrupt
坟	grave
坟	tomb
坟	embankment
坟	mound
坟地	graveyard
坟地	cemetery
坟场	cemetery
坟茔	grave
坟茔	tomb
坟茔	graveyard
坟茔	cemetery
坟墓	grave
坟墓	tomb
坟山	graveyard
坟山	grave
坟穴	grave
墺	building-plot
壁	wall
壁	rampart
壁助	help
壁助	assistant
壁垒	rampart
壁垒	barrier
壁厢	lateral
壁厢	side
壁厢	beside
壁架	ledge
壁橱	closet
壁毯	tapestry
壁炉	fireplace
壁球	squash
壁画	mural
壁画	fresco
壁癌	efflorescence
壁纸	wallpaper
壁虎	gecko
壁虱	tick
壁虱	bedbug
壁龛	niche
坛	altar
壈	disappointed
壑	gully
壑	ravine
壑沟	ditch
壑沟	moat
壒	dust
壒	mud
压	pressure
压不碎	crushproof
压不碎	unbreakable
压不碎	indomitable
压倒	overwhelming
压倒性	overwhelming
压克力	acrylic
压力	pressure
压力容器	autoclave
压力强度	pressure
压力计	manometer
压力计	piezometer
压强	pressure
压抑	oppressive
压抑	stifling
压抑	depressing
压抑	repression
压板	see-saw
压根	absolutely
压根	entirely
压根	simply
压缩	compression
压缩器	compressor
压缩机	compactor
压缩机	compressor
压舌板	spatula
压花	coining
压花	knurling
压轴戏	climax
压迫	oppression
压迫	stress
压电	piezoelectricity
压电体	piezo-electric
壔	column
壔	cylinder
壕	moat
壕	trench
壕沟	trench
壕沟	moat
垒	rampart
垒	base
垒球	softball
圹	tomb
垆	clay
垆	shop
壝	mound
壝	embankment
坏	bad
坏	spoiled
坏	broken
坏了	shoot!
坏了	gosh!
坏事	misdeed
坏人	villain
坏包儿	rascal
坏包儿	rogue
坏家伙	scoundrel
坏掉	spoilt
坏掉	ruined
坏东西	bastard
坏东西	scoundrel
坏东西	rogue
坏死	necrosis
坏疽	gangrene
坏种	scoundrel
坏处	harm
坏处	troubles
坏蛋	scoundrel
坏蛋	bastard
坏血病	scurvy
坏运	misfortune
坏鸟	broken
垄断贩卖	monopoly
垄沟	furrow
壤	soil
壤	earth
壤土	loam
坝	dam
坝	dike
坝	embankment
士	scholar
士	bachelor
士	honorific
士	soldier
士丹利	Stanley
士人	scholar
士兵	soldier
士力架	Snickers
士卒	soldier
士卒	private
士多	store
士多啤梨	strawberry
士子	official
士子	scholar
士巴拿	spanner
士敏土	cement
士气	morale
壬	nona
壮	strong
壮	robust
壮士	hero
壮士	fighter
壮士	warrior
壮实	robust
壮实	sturdy
壮年	summer
壮年	able-bodied
壮年	mature
壮烈	brave
壮烈	heroic
壮硕	sturdy
壮美	magnificent
壮观	spectacular
壮语	exaggeration
壮阔	grand
壮阔	majestic
壮阔	vast
壮丽	magnificence
壮丽	magnificent
壮丽	majestic
壮丽	glorious
壴	drum
壹	one
壶	pot
壸	women
寿	age
寿	life
寿	birthday
寿	funerary
寿司	sushi
寿命	lifetime
寿喜烧	sukiyaki
寿材	coffin
寿辰	birthday
寿限	lifetime
壿	goblet
壿	bottle
壿	wine-jar
夏	summer
夏令	summer
夏克提	Shakti
夏天	summer
夏娃	Eve
夏季	summer
夏日	summertime
夏洛克	Shylock
夏洛克	Sherlock
夏洛特	Charlotte
夏尔巴人	Sherpa
夔夔	awestruck
夔夔	fearful
夕	dusk
夕	evening
夕阳	sunset
外	outside
外	foreign
外	external
外交	diplomacy
外交	diplomatic
外交官	diplomat
外交家	diplomat
外交手腕	diplomatic
外人	outsider
外人	foreigner
外人	stranger
外来	external
外来	foreign
外来	outside
外来人	foreigner
外来词	loanword
外来语	loanword
外伤	injury
外伤	wound
外伤	trauma
外侨	foreigner
外分泌	exocrine
外加	extra
外加剂	additive
外加附件	add-on
外加附件	plug-in
外包	outsourcing
外向	extroverted
外向	export-oriented
外向型	export-oriented
外国	foreign
外国人	foreigner
外围	surrounding
外在	external
外在	extrinsic
外地人	stranger
外地人	outsider
外场	society
外场	outfield
外场	field
外套	coat
外套	jacket
外孙	grandson
外孙女	granddaughter
外孙女儿	granddaughter
外孙子	grandson
外小腿	shin
外差	heterodyne
外带	take-out
外带	tire
外带	besides
外延	extension
外形	figure
外形	shape
外形	contour
外心	circumcenter
外挂	plug-in
外挂	add-on
外挂程式	plug-in
外推法	extrapolation
外插	extrapolation
外放	extroverted
外放	outgoing
外教	greenhorn
外教	novice
外教	amateurish
外星	alien
外星	extraterrestrial
外星人	extraterrestrial
外壳	envelope
外壳	hull
外壳	cover
外壳	case
外流	outflow
外海	offshore
外源	exogenous
外激素	pheromone
外墙	facade
外用	external
外界	external
外皮	carapace
外科	surgery
外科学	surgery
外科手术	surgery
外科医生	surgeon
外稃	husk
外籍	foreign
外胚层	ectoderm
外号	nickname
外行	layman
外行	amateur
外衣	semblance
外衣	appearance
外表	external
外表	outside
外袍	robe
外观设计	look
外观设计	design
外设	peripherals
外貌	profile
外貌	appearance
外逃	outflow
外边	outside
外边	abroad
外邦人	gentile
外部	external
外乡人	out-of-towner
外间	outside
外阴	vulva
外露	exposed
外面	outside
外面	surface
外面	exterior
外头	outside
外头	out
外骨骼	exoskeleton
夙	morning
夙	early
夙	long-held
夙	long-cherished
夙夜	always
多	many
多	much
多	often
多	numerous
多	more
多	how
多	multi-
多了去了	aplenty
多事	meddlesome
多事	eventful
多任务	multi-task
多伊尔	Doyle
多佛	Dover
多佛尔	Dover
多个	many
多个	multiple
多个	multi-
多倍体	polyploid
多值	multivalued
多侧面	many-sided
多元	poly-
多元	multi-
多元	multielement
多元	multivariant
多元	multivariate
多元化	diversification
多元化	pluralism
多元宇宙	multiverse
多元性	diversity
多元文化主义	multiculturalism
多元酯	polyester
多力多滋	Doritos
多功能	multi-functional
多功能	multi-function
多半	most
多半	mostly
多咱	when?
多咱	whenever
多哥	Togo
多嘴	talkative
多嘴多舌	talkative
多国	multinational
多国公司	multinational
多士	toast
多多	many
多多	much
多多	more
多如牛毛	countless
多妻制	polygamy
多姿多彩	diversity
多媒体	multimedia
多孔	porous
多孔动物	Porifera
多孔性	porous
多字节	multibyte
多学科	interdisciplinary
多寡	number
多寡	amount
多宝鱼	turbot
多少	number
多少	amount
多少	somewhat
多少	which
多少有些	somewhat
多层材	plywood
多山	mountainous
多工	multiple
多工	multi-
多工作业	multitasking
多工器	multiplexer
多工运作	multithreading
多巴胺	dopamine
多平台	multi-platform
多年生	perennial
多彩	colorful
多彩	flamboyant
多心	oversensitive
多心	suspicious
多情	affectionate
多情	passionate
多情	emotional
多情	sentimental
多才	multi-talented
多才多艺	multi-talented
多拿滋	doughnut
多数	majority
多数	most
多方位	many-sided
多方位	versatile
多方位	all-round
多方位	multi-directional
多方面	many-sided
多早晚	when?
多明尼加	Dominica
多星	starry
多普达	Dopod
多晶	polycrystalline
多束	multibeam
多极化	multi-polarization
多极化	multipolarization
多极化	multi-polarity
多极化	multipolar
多极化	pluralization
多模	multimode
多模块	multiblock
多样	diverse
多样	diversity
多样	manifold
多样化	diversification
多样性	variegation
多样性	diversity
多树木	wooded
多次	repeatedly
多民族	multi-ethnic
多氯联苯	PCB
多水分	juicy
多汁	succulent
多汁	juicy
多灾多难	precarious
多尔	Dole
多瑙河	Danube
多产	prolific
多产	fertile
多用	multipurpose
多用户	multiuser
多用途	multi-purpose
多疑	mistrustful
多疑	suspicious
多疑	paranoid
多目的	multi-purpose
多神论	polytheism
多神论者	polytheist
多礼	overcourteous
多种	multiple
多种	diverse
多种	multi-
多种多样	manifold
多种维生素	multivitamin
多种语言	multilingual
多站	multistation
多端	multifarious
多端	multifold
多端	multiport
多端	multistation
多端	multiterminal
多米尼克	Dominica
多米尼加	Dominica
多米诺	domino
多米诺骨牌	dominoes
多粒子	many-particle
多糖	polysaccharide
多细胞	multicellular
多维	multidimensional
多义	polysemy
多义	polysemous
多义	ambiguity
多义性	equivocality
多义词	polyseme
多闻天	Vaisravana
多肉	fleshy
多肉植物	succulent
多育	prolific
多胞形	polytope
多芬	Dove
多菲什	dogfish
多叶	leafy
多亏	luckily
多角形	polygon
多角体	polyhedron
多角体	polytope
多言	wordy
多言	talkative
多语言	polyglot
多变	fickle
多变	multi-variate
多足动物	myriapod
多轮	multilayered
多轮	multipronged
多边	multilateral
多边形	polygon
多那太罗	Donatello
多醣	polysaccharide
多重	multi-
多重性	multiplicity
多云	cloudy
多面手	all-rounder
多面体	polyhedron
多面体	polytope
多音	polyphony
多项式	polynomial
多项式	multinomial
多头	many-headed
多头	many-layered
多头	devolved
多头	pluralistic
多头	long
多余	superfluous
多余	unnecessary
多余	surplus
多香果	all-spice
多么	how
多么	what
多么	however
多么	how
