%	percent
三朋四友	friends
三朋四友	cronies
三板	sampan
三柱门	wicket
三极管	triode
三次	third
三次元	three-dimensional
三次幂	cube
三次方	cube
三段论	syllogism
三氯已烯	trichloroethylene
三氯已烷	trichloroethane
三氯甲烷	trichloromethane
三流	third-rate
三流	inferior
三浦	Miura
三温暖	sauna
三叠纪	Triassic
三硝基甲苯	trinitrotoluene
三秒胶	superglue
三棱镜	prism
三等分	trisection
三等分角	trisection
三维	three-dimensional
三维	3D
三维空间	3D
三联管	triplet
三胞胎	triplets
三脚两步	hurriedly
三脚架	tripod
三色堇	pansy
三色紫罗兰	pansy
三菱	Mitsubishi
三叶草	clover
三叶草	trefoil
三叶虫	trilobite
三号木杆	spoon
三角	triangle
三角学	trigonometry
三角巾	sling
三角座	Triangulum
三角形	triangle
三角恐龙	triceratops
三角板	triangle
三角法	trigonometry
三角洲	delta
三角测量法	triangulation
三角裤	briefs
三角裤	panties
三角裤衩	briefs
三角裤衩	panties
三角铁	triangle
三角龙	triceratops
三趾滨鹬	sanderling
三轮车	pedicab
三轮车	tricycle
三迭纪	Triassic
三通	T-joint
三通	T-piece
三通	T-pipe
三连胜	hat-trick
三边形	triangle
三部曲	trilogy
三酸甘油酯	triglyceride
三里屯	Sanlitun
三里河	Sanlihe
三重	treble
三重奏	trio
三只手	pickpocket
三音	third
三音度	third
三项	tri-
三项	triathlon
三项全能	triathlon
三项式	trinomial
三驾马车	troika
三体	trisomy
三鹿	Sanlu
三点全露	naked
三点全露	nude
上	upon
上	above
上	upper
上	previous
上	first
上下	length
上下	about
上下文	context
上乘	first-class
上任	previous
上任	predecessor
上佳	excellent
上佳	outstanding
上佳	great
上个	first
上个	last
上个	previous
上升空间	upside
上午	morning
上半天	morning
上半晌	forenoon
上半晌	morning
上半晌	a.m.
上古	antiquity
上司	boss
上司	superior
上合	SCO
上同调	cohomology
上坡	uphill
上坡	upslope
上坡路	progress
上天	Heaven
上天	Providence
上天	God
上好	first-rate
上好	top-notch
上官	superior
上将	general
上将	admiral
上将军	commander-in-chief
上尉	captain
上层建筑	superstructure
上帝	God
上心	carefully
上心	meticulously
上手	overhand
上新世	Pliocene
上星	satellite
上校	colonel
上杆	backswing
上标	superscript
上款	addressee
上海宝钢集团公司	Baosteel
上海话	Shanghainese
上游	upstream
上溜油	basted
上牙膛	palate
上田	Ueda
上皮	epithelium
上相	photogenic
上确界	supremum
上空	overhead
上等	top-notch
上级	superiors
上网本	netbook
上色	top-quality
上色	top-grade
上艾瑟尔	Overijssel
上万	innumerable
上苍	heaven
上行	up
上衣	jacket
上衫	blouse
上诉	appeal
上议院	Senate
上辈	ancestors
上述	aforementioned
上述	above-mentioned
上进心	motivation
上进心	ambition
上边	above
上边	overhead
上边	upwards
上边	above-mentioned
上野	Ueno
上镜	photogenic
上面	above-mentioned
上颌	maxilla
上颌骨	maxilla
上头	above
上颔	mandible
上风	rising
上龙	pliosaurus
下	down
下	downwards
下	below
下	lower
下	later
下	next
下	second
下一次	next
下三滥	riffraff
下三滥	scum
下三滥	lowlife
下三滥	despicable
下三滥	inferior
下不来	awkward
下不来	embarrassed
下丘脑	hypothalamus
下乳	underboob
下列	following
下划线	underline
下午	afternoon
下午	p.m.
下半天	afternoon
下坡	downhill
下垂	sagging
下垂	drooping
下垂	prolapse
下层	underlayer
下层	substrate
下属	subordinate
下属	underling
下属公司	subsidiary
下岗	laid-off
下巴	chin
下巴颏	chin
下挫	decline
下挫	slump
下方	underneath
下方	below
下旋	backspin
下旋削球	undercut
下标	subscript
下标	suffix
下标	index
下槛	doorsill
下水	downstream
下水	offal
下水	viscera
下水	tripe
下水管	drainpipe
下水道	sewer
下流	low-class
下流	vulgar
下流	obscene
下游	downstream
下滑	sliding
下滑	slide
下画线	underline
下确界	infimum
下级	underclass
下级	subordinate
下脚料	offcut
下脚料	scraps
下落	whereabouts
下落不明	unaccounted
下行	down
下视丘	hypothalamus
下贱	humble
下贱	lowly
下贱	depraved
下贱	contemptible
下身	genitalia
下身	trousers
下辈	offspring
下边	under
下边	below
下关市	Shimonoseki
下陷	subsidence
下面	below
下面	under
下面	next
下颌	mandible
下颌骨	mandible
下颏	chin
下颔	mandible
下颔骨	mandible
下颚	mandible
下风	leeward
下风	downwind
下风方向	leeward
不	not
不	no
不一定	maybe
不一会	soon
不一样	different
不一样	distinctive
不一样	unlike
不一而足	numerous
不三不四	dubious
不三不四	shady
不三不四	nondescript
不中用	useless
不丹	Bhutan
不久	soon
不干不净	unclean
不干不净	filthy
不干不净	foul-mouthed
不事张扬	quietly
不亦乐乎	awfully
不人道	inhuman
不仁	heartless
不仁	numb
不令人鼓舞	discouraging
不令人鼓舞	disheartening
不以为意	unconcerned
不休	endlessly
不休	ceaselessly
不住	repeatedly
不住	continuously
不住	constantly
不作为	nonfeasance
不作为	omission
不佞	untalented
不来梅	Bremen
不便	inconvenient
不便	inappropriate
不便	unsuitable
不俗	impressive
不信用	distrust
不倒翁	tumbler
不倦	tireless
不倦	untiring
不倦	indefatigable
不伦	improper
不伦	unseemly
不伦不类	inappropriate
不伦不类	incongruous
不值一文	worthless
不值得	unworthy
不偏不倚	even-handed
不偏不倚	impartial
不偏不倚	unbiased
不偏不倚	exact
不偏不倚	just
不偏斜	impartial
不偏斜	even-handed
不偏极	unpolarized
不停	incessant
不备	unprepared
不像样	unpresentable
不像话	unreasonable
不像话	shocking
不像话	outrageous
不光彩	disgraceful
不光彩	dishonorable
不克	cannot
不免	inevitably
不入时宜	untimely
不入时宜	premature
不入时宜	inopportune
不入时宜	ill-timed
不公	unjust
不公	unfair
不公正	injustice
不兼容性	incompatibility
不准许	forbidden
不分	irrespective
不分情由	indiscriminate
不分昼夜	round-the-clock
不分轩轾	well-matched
不切合实际	impractical
不切实际	unrealistic
不切实际	impractical
不列颠	Britain
不列颠	British
不利	unfavorable
不利	disadvantageous
不利	harmful
不利	detrimental
不到	insufficient
不加	without
不加	not
不加	un-
不加修饰	undecorated
不加修饰	unvarnished
不加区别	indiscriminate
不加拘束	unrestricted
不加掩饰	undisguised
不加牛奶	black
不加选择	indiscriminate
不动	motionless
不动摇	unmoved
不动产	immovables
不胜	very
不胜	extremely
不匮	endlessly
不协调	uncoordinated
不协调	disharmony
不受欢迎	unwelcome
不可	cannot
不可估量	inestimable
不可估量	incalculable
不可侵犯	inviolable
不可侵犯	inviolability
不可侵犯权	inviolability
不可分割	inalienable
不可分割	unalienable
不可分割	inseparable
不可分割	indivisible
不可分离	inseparable
不可胜数	countless
不可胜数	innumerable
不可胜言	inexpressible
不可同日而语	incomparable
不可名状	indescribable
不可告人	hidden
不可多得	rare
不可思议	unfathomable
不可或缺	necessary
不可抗力	unpreventable
不可抗力	unavoidable
不可抗拒	irresistible
不可挽回	irreversible
不可收拾	irremediable
不可收拾	unmanageable
不可收拾	hopeless
不可救药	incurable
